"termo";"idioma";"num"
"Trump";"pt";100
"Bolsonaro";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"bolsonaro";"pt";100
"lula";"pt";100
"banana";"pt";100
"banana";"pt";100
"nn";"pt";100
"banana";"pt";473
"banana";"pt";100
"bananana";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"lula";"pt";100
"ttt";"pt";100
"banana";"pt";100
"";"pt";100
"lula";"pt";50
"input$text";"input$lang";1
"banana";"pt";100
"lula";"pt";100
"teste";"pt";100
"bbb";"pt";100
"globo";"pt";100
"textmining";"pt";100
"textmining";"pt";100
"textmining";"pt";100
"textmining";"pt";100
"textmining";"pt";100
"textmining";"pt";100
"banana";"pt";100
"banana";"pt";100
"textmining";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"banana";"pt";100
"textmining";"pt";100
"textmining";"pt";100
"banana";"pt";100
"textmining";"pt";100
"textmining";"en";100
"bbb";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"rstudio";"pt";100
